duration_ms,explicit,external_urls,name,track_number,uri,album,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,analysis_url
263377,False,{'spotify': 'https://open.spotify.com/track/7HC7R2D8WjXVcUHJyEGjRs'},Breathe (feat. Colbie Caillat) (Taylor’s Version),7,spotify:track:7HC7R2D8WjXVcUHJyEGjRs,Fearless (Taylor's Version),0.506,0.626,1,-6.066,1,0.0287,0.156,0.0,0.228,0.321,148.035,https://api.spotify.com/v1/audio-analysis/7HC7R2D8WjXVcUHJyEGjRs
200575,False,{'spotify': 'https://open.spotify.com/track/0k0vFacOHNuArLWMiH60p7'},Tell Me Why (Taylor’s Version),8,spotify:track:0k0vFacOHNuArLWMiH60p7,Fearless (Taylor's Version),0.578,0.909,7,-3.669,1,0.0628,0.0222,0.0,0.333,0.541,100.023,https://api.spotify.com/v1/audio-analysis/0k0vFacOHNuArLWMiH60p7
261842,False,{'spotify': 'https://open.spotify.com/track/6iiAfo4wTA2CVC3Uwx9uh8'},You’re Not Sorry (Taylor’s Version),9,spotify:track:6iiAfo4wTA2CVC3Uwx9uh8,Fearless (Taylor's Version),0.506,0.444,6,-4.99,1,0.0285,0.0538,0.0,0.123,0.241,133.873,https://api.spotify.com/v1/audio-analysis/6iiAfo4wTA2CVC3Uwx9uh8
243136,False,{'spotify': 'https://open.spotify.com/track/22bPsP2jCgbLUvh82U0Z3M'},The Way I Loved You (Taylor’s Version),10,spotify:track:22bPsP2jCgbLUvh82U0Z3M,Fearless (Taylor's Version),0.402,0.732,5,-4.665,1,0.0484,0.0033,0.0,0.108,0.472,161.032,https://api.spotify.com/v1/audio-analysis/22bPsP2jCgbLUvh82U0Z3M
225328,False,{'spotify': 'https://open.spotify.com/track/1msEuwSBneBKpVCZQcFTsU'},Forever & Always (Taylor’s Version),11,spotify:track:1msEuwSBneBKpVCZQcFTsU,Fearless (Taylor's Version),0.598,0.821,10,-4.433,1,0.0447,0.0231,0.0,0.143,0.673,128.03,https://api.spotify.com/v1/audio-analysis/1msEuwSBneBKpVCZQcFTsU
245290,False,{'spotify': 'https://open.spotify.com/track/6ON9UuIq49xXY9GPmHIYRp'},The Best Day (Taylor’s Version),12,spotify:track:6ON9UuIq49xXY9GPmHIYRp,Fearless (Taylor's Version),0.642,0.576,1,-8.524,1,0.0282,0.488,0.0,0.159,0.469,125.0,https://api.spotify.com/v1/audio-analysis/6ON9UuIq49xXY9GPmHIYRp
279359,False,{'spotify': 'https://open.spotify.com/track/3ExweHKZF9B752DPQByRVT'},Change (Taylor’s Version),13,spotify:track:3ExweHKZF9B752DPQByRVT,Fearless (Taylor's Version),0.499,0.815,5,-4.063,1,0.0341,0.000191,0.0,0.181,0.344,95.999,https://api.spotify.com/v1/audio-analysis/3ExweHKZF9B752DPQByRVT
237580,False,{'spotify': 'https://open.spotify.com/track/2m3ObD945KvpE5y9A1eUWm'},Jump Then Fall (Taylor’s Version),14,spotify:track:2m3ObD945KvpE5y9A1eUWm,Fearless (Taylor's Version),0.572,0.69,2,-6.201,1,0.0358,0.0474,0.0,0.0897,0.624,160.111,https://api.spotify.com/v1/audio-analysis/2m3ObD945KvpE5y9A1eUWm
312107,False,{'spotify': 'https://open.spotify.com/track/0tQ9vBYpldCuikPsbgOVKA'},Untouchable (Taylor’s Version),15,spotify:track:0tQ9vBYpldCuikPsbgOVKA,Fearless (Taylor's Version),0.393,0.531,5,-6.112,1,0.0329,0.0181,0.0,0.169,0.224,200.391,https://api.spotify.com/v1/audio-analysis/0tQ9vBYpldCuikPsbgOVKA
267833,False,{'spotify': 'https://open.spotify.com/track/01QdEx6kFr78ZejhQtWR5m'},Forever & Always (Piano Version) (Taylor’s Version),16,spotify:track:01QdEx6kFr78ZejhQtWR5m,Fearless (Taylor's Version),0.546,0.273,9,-9.208,1,0.0308,0.819,0.0,0.137,0.271,118.753,https://api.spotify.com/v1/audio-analysis/01QdEx6kFr78ZejhQtWR5m
