name,album,duration_min,explicit,track_number,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,analysis_url
I Think He Knows,Lover,2.89,False,6,0.897,0.366,0,-8.029,1,0.0569,0.00889,0.000353,0.0715,0.416,100.003,https://api.spotify.com/v1/audio-analysis/2YWtcWi3a83pdEg3Gif4Pd
Miss Americana & The Heartbreak Prince,Lover,3.9,False,7,0.662,0.747,11,-6.926,0,0.0736,0.028,0.00615,0.138,0.487,150.088,https://api.spotify.com/v1/audio-analysis/214nt20w5wOxJnY462klLw
Paper Rings,Lover,3.71,False,8,0.811,0.719,9,-6.553,1,0.0497,0.0129,1.36e-05,0.0742,0.865,103.979,https://api.spotify.com/v1/audio-analysis/4y5bvROuBDPr5fuwXbIBZR
Cornelia Street,Lover,4.79,False,9,0.824,0.624,0,-9.728,1,0.0827,0.781,0.000189,0.1,0.248,102.012,https://api.spotify.com/v1/audio-analysis/12M5uqx0ZuwkpLp5rJim1a
Death By A Thousand Cuts,Lover,3.31,False,10,0.712,0.732,4,-6.754,1,0.0629,0.454,0.0,0.319,0.313,94.071,https://api.spotify.com/v1/audio-analysis/2dgFqt3w9xIQRjhPtwNk3D
London Boy,Lover,3.17,False,11,0.695,0.71,1,-6.639,1,0.05,0.0246,0.000104,0.133,0.557,157.925,https://api.spotify.com/v1/audio-analysis/1LLXZFeAHK9R4xUramtUKw
Soon You’ll Get Better (feat. The Chicks),Lover,3.36,False,12,0.433,0.182,0,-12.566,1,0.0641,0.907,0.0,0.123,0.421,207.476,https://api.spotify.com/v1/audio-analysis/4AYtqFyFbX0Xkc2wtcygTr
False God,Lover,3.34,False,13,0.739,0.32,11,-10.862,0,0.239,0.736,0.000147,0.111,0.351,79.97,https://api.spotify.com/v1/audio-analysis/5hQSXkFgbxjZo9uCwd11so
You Need To Calm Down,Lover,2.86,False,14,0.771,0.671,2,-5.617,1,0.0553,0.00929,0.0,0.0637,0.714,85.026,https://api.spotify.com/v1/audio-analysis/6RRNNciQGZEXnqk8SQ9yv5
Afterglow,Lover,3.72,False,15,0.756,0.449,9,-8.746,1,0.0344,0.13,0.0,0.114,0.399,111.011,https://api.spotify.com/v1/audio-analysis/1SymEzIT3H8UZfibCs3TYi
ME! (feat. Brendon Urie of Panic! At The Disco),Lover,3.22,False,16,0.61,0.83,0,-4.105,1,0.0571,0.033,0.0,0.118,0.728,182.162,https://api.spotify.com/v1/audio-analysis/2Rk4JlNc2TPmZe2af99d45
It’s Nice To Have A Friend,Lover,2.51,False,17,0.737,0.175,10,-9.912,1,0.0401,0.971,0.000337,0.171,0.545,70.008,https://api.spotify.com/v1/audio-analysis/1SmiQ65iSAbPto6gPFlBYm
Daylight,Lover,4.89,False,18,0.557,0.496,0,-9.602,1,0.0563,0.808,0.000173,0.0772,0.265,149.983,https://api.spotify.com/v1/audio-analysis/1fzAuUVbzlhZ1lJAx9PtY6
...Ready For It?,reputation,3.47,False,1,0.613,0.764,2,-6.509,1,0.136,0.0527,0.0,0.197,0.417,160.015,https://api.spotify.com/v1/audio-analysis/2yLa0QULdQr0qAIvVwN6B5
End Game,reputation,4.08,False,2,0.649,0.589,2,-6.237,1,0.0558,0.00845,0.0,0.108,0.151,159.073,https://api.spotify.com/v1/audio-analysis/2x0WlnmfG39ZuDmstl9xfX
I Did Something Bad,reputation,3.97,False,3,0.696,0.602,0,-6.156,0,0.159,0.0679,2.11e-05,0.0696,0.305,82.989,https://api.spotify.com/v1/audio-analysis/4svZDCRz4cJoneBpjpx8DJ
Don’t Blame Me,reputation,3.94,False,4,0.615,0.534,9,-6.719,0,0.0386,0.106,1.76e-05,0.0607,0.193,135.917,https://api.spotify.com/v1/audio-analysis/1R0a2iXumgCiFb7HEZ7gUE
Delicate,reputation,3.87,False,5,0.75,0.404,9,-10.178,0,0.0682,0.216,0.000357,0.0911,0.0499,95.045,https://api.spotify.com/v1/audio-analysis/6NFyWDv5CjfwuzoCkw47Xf
Look What You Made Me Do,reputation,3.53,False,6,0.766,0.709,9,-6.471,0,0.123,0.204,1.41e-05,0.126,0.506,128.07,https://api.spotify.com/v1/audio-analysis/1P17dC1amhFzptugyAO7Il
So It Goes...,reputation,3.8,False,7,0.574,0.61,2,-7.283,1,0.0732,0.122,1.1e-06,0.13,0.374,74.957,https://api.spotify.com/v1/audio-analysis/5PxFv9yJEg9dxvbZggykro
Gorgeous,reputation,3.49,False,8,0.8,0.535,7,-6.684,1,0.135,0.0713,9.48e-06,0.213,0.451,92.027,https://api.spotify.com/v1/audio-analysis/1ZY1PqizIl78geGM4xWlEA
Getaway Car,reputation,3.89,False,9,0.562,0.689,2,-6.745,1,0.127,0.00465,2.23e-06,0.0888,0.351,172.054,https://api.spotify.com/v1/audio-analysis/0VE4kBnHJUgtMf0dy6DRmW
King Of My Heart,reputation,3.57,False,10,0.675,0.703,0,-7.902,1,0.0382,0.00882,2.21e-06,0.0391,0.314,110.01,https://api.spotify.com/v1/audio-analysis/7HuBDWi18s4aJM8UFnNheH
