song,closest_song,distance
"Tim McGraw, So It Goes..., Mary's Song (Oh My My My), Better Man (Taylor's Version) (From The Vault), exile (feat. Bon Iver)","Everything Has Changed (feat. Ed Sheeran) (Taylor’s Version), Haunted - Acoustic Version, Come Back...Be Here (Taylor's Version), Bye Bye Baby (Taylor’s Version) (From The Vault), Begin Again (Taylor's Version), no body, no crime (feat. HAIM), willow, invisible string, ivy, the lakes - bonus track",6.06885727029786
Call It What You Want,"Enchanted, This Is Why We Can't Have Nice Things, The Other Side Of The Door (Taylor’s Version), Mean, The Way I Loved You (Taylor’s Version), Haunted",6.0864150319551005
"Last Kiss, Gorgeous, Out Of The Woods, That’s When (feat. Keith Urban) (Taylor’s Version) (From The Vault), august","Delicate, marjorie, seven, I Forgot That You Existed",6.108640789009293
I Wish You Would - Voice Memo,"Ronan (Taylor's Version), evermore (feat. Bon Iver), Dress, The Archer, The Best Day (Taylor’s Version), Never Grow Up, cowboy like me, cardigan, my tears ricochet",6.110304984204956
"mad woman, This Love, You All Over Me (feat. Maren Morris) (Taylor’s Version) (From The Vault), Back To December - Acoustic, Come In With The Rain (Taylor’s Version), Back To December, the 1, The Story Of Us","Wildest Dreams, right where you left me - bonus track, Mr. Perfectly Fine (Taylor’s Version) (From The Vault), Don’t Blame Me, this is me trying",6.25277066243453
"Miss Americana & The Heartbreak Prince, closure, tolerate it, the last great american dynasty","I Knew You Were Trouble (Taylor's Version), A Perfectly Good Heart, Holy Ground (Taylor's Version), Today Was A Fairytale (Taylor’s Version), Shake It Off",6.554518675527451
"Better Than Revenge, I'm Only Me When I'm With You","Miss Americana & The Heartbreak Prince, closure, tolerate it, the last great american dynasty, I Knew You Were Trouble (Taylor's Version), A Perfectly Good Heart, Holy Ground (Taylor's Version), Today Was A Fairytale (Taylor’s Version), Shake It Off",6.664073275491404
"Sad Beautiful Tragic (Taylor's Version), Blank Space - Voice Memo","The Moment I Knew (Taylor's Version), Look What You Made Me Do, State Of Grace (Taylor's Version), Forever & Always (Taylor’s Version), You Belong With Me (Taylor’s Version), Superman, Stay Beautiful, You’re Not Sorry (Taylor’s Version)",6.753384391373947
"A Place in this World, Sparks Fly, The Outside, Hey Stephen (Taylor’s Version), Message In A Bottle (Taylor's Version) (From The Vault), Forever Winter (Taylor's Version) (From The Vault), Welcome To New York, Speak Now, Mine, Mine - POP Mix, The Very First Night (Taylor's Version) (From The Vault)","Forever & Always (Piano Version) (Taylor’s Version), illicit affairs, happiness, hoax",7.224268927683027
State Of Grace (Acoustic Version) (Taylor's Version),Soon You’ll Get Better (feat. The Chicks),7.260390711938475
